Ref ID,Development Status (short),Installed Capacity (MWelec),Operational,lon,lat,area (sqm)
1354,Revised,15.0,,0.586,52.934,280797
1355,Operational,1.5,2013-03-28,-2.411,51.044,27826
1356,Operational,1.5,2012-07-31,-4.138,51.775,27826
1358,Operational,2.4,2015-09-15,-2.372,57.56,44690
1359,Operational,9.2,2014-03-28,1.374,51.352,122000
1361,Revised,5.8,,-0.978,51.115,108402
1362,Operational,20.5,2014-03-29,-1.196,50.831,280000
1367,Operational,1.4,2014-07-22,-0.072,52.966,25952
1374,Operational,4.1,2015-12-01,-0.648,51.845,74917
1375,Revised,10.8,,0.715,51.775,166000
1376,Revised,26.0,,0.714,52.311,522000
1379,Revised,2.0,,-1.031,53.536,37195
1380,Operational,4.8,2015-03-19,-3.371,50.634,89663
1382,Operational,11.5,2014-03-30,1.265,51.235,157300
1384,Operational,5.0,2011-07-01,-2.091,51.498,93411
1385,Operational,6.6,2013-02-23,-1.675,51.196,120200
1386,Operational,2.0,2011-07-13,-3.197,51.061,37195
1387,Operational,5.0,2011-07-14,0.166,52.345,147600
1388,Operational,5.0,2013-03-28,-4.796,51.675,107000
1389,Revised,4.6,,-3.284,51.081,105000
1390,Operational,1.2,2014-03-24,-3.032,53.289,22204
1394,Operational,7.6,2013-08-02,-2.099,51.561,142131
1395,Revised,11.5,,-2.607,51.01,227400
1404,Operational,4.0,2015-03-30,-0.995,53.356,87000
1416,Operational,3.5,2013-08-31,-4.122,50.985,80940
1417,Revised,7.0,,1.154,51.912,150000
1418,Operational,5.8,2013-08-31,-1.232,50.918,108402
1421,Operational,1.5,2012-08-07,-1.422,50.697,27826
1423,Operational,1.9,2013-02-26,-3.941,50.362,35321
1426,Revised,5.0,,-3.393,50.827,111000
1428,Operational,4.0,2016-03-30,-4.748,50.563,74672
1429,Operational,3.5,2015-03-24,-3.262,51.077,83200
1433,Operational,4.9,2011-07-18,-0.691,52.969,121800
1435,Operational,1.2,2013-08-27,-4.271,50.61,22204
1439,Operational,1.8,2013-03-20,-2.312,51.046,43600
1441,Operational,1.8,2013-03-21,-3.408,50.855,33447
1442,Operational,1.4,2013-03-18,-3.784,50.831,25952
1443,Operational,1.2,2013-03-20,-4.215,50.886,22204
1444,Revised,1.5,,-2.586,51.214,27826
1445,Operational,1.5,2012-08-03,-3.571,50.916,27826
1446,Operational,1.0,2013-03-25,-4.277,50.752,18456
1449,Operational,4.5,2013-03-28,-1.034,50.912,132300
1450,Operational,1.5,2013-03-21,-2.996,51.019,47000
1452,Revised,3.8,,1.136,51.939,103000
1453,Operational,4.0,2013-03-02,-2.204,50.923,74672
1454,Operational,2.0,2015-03-11,-3.227,50.864,37195
1455,Revised,8.0,,-2.724,50.999,149627
1457,Revised,7.0,,-3.253,50.733,130888
1462,Revised,9.3,,0.274,52.043,173987
1463,Operational,21.3,2015-03-04,0.937,51.814,398851
1464,Operational,5.0,2016-12-13,0.602,51.906,93411
1467,Operational,6.3,2013-03-31,-3.809,50.425,117771
1468,Operational,5.0,2013-03-20,-2.951,50.773,121300
1469,Revised,5.8,,-2.789,51.043,108402
1473,Operational,1.5,2014-05-21,-1.316,53.529,27826
1474,Operational,5.4,2015-03-20,-0.978,51.115,149000
1476,Operational,11.0,2014-03-15,-2.165,51.482,205843
1478,Operational,14.0,2015-03-29,-2.596,52.999,286000
1480,Operational,8.0,2014-10-31,1.285,52.047,149627
1484,Operational,10.0,2017-03-31,-3.351,50.733,220000
1485,Operational,10.2,2015-03-24,-2.73,52.657,245000
1489,Operational,5.0,2014-05-19,-2.507,51.729,150200
1490,Operational,1.7,2015-12-23,-1.031,53.541,31573
1491,Operational,5.8,2014-03-31,-2.141,52.633,108402
1494,Operational,12.0,2014-03-28,0.063,53.02,224582
1497,Operational,14.3,2014-03-31,-0.993,53.304,273500
1498,Operational,12.4,2014-03-28,-0.832,52.966,232077
1500,Operational,1.8,2014-07-28,-1.024,52.36,33447
1501,Operational,1.8,2015-09-28,-2.389,57.378,29000
1502,Operational,19.3,2014-03-31,0.157,52.335,350000
1503,Operational,3.3,2015-03-30,-4.355,51.849,61555
1505,Revised,5.0,,-1.474,51.859,93411
1506,Operational,5.0,2018-06-30,-3.24,54.139,135000
1507,Operational,2.6,2014-03-31,0.227,50.92,50300
1509,Operational,1.5,2015-03-15,-3.087,50.994,44000
1510,Operational,1.8,2014-08-22,-1.407,52.577,33447
1513,Operational,1.4,2011-09-29,-2.485,51.868,25952
1515,Operational,11.0,2016-03-31,-0.95,51.142,222000
1516,Operational,10.0,2015-03-30,1.124,51.325,210000
1518,Operational,8.3,2015-03-29,-2.861,51.345,155249
1519,Operational,4.1,2014-11-27,-1.556,52.251,82000
1520,Operational,3.0,2015-06-15,-3.059,53.032,55934
1521,Operational,2.2,2016-03-16,-3.517,51.498,55000
1522,Operational,5.4,2014-03-28,-2.578,51.209,100906
