Ref ID,Development Status (short),Installed Capacity (MWelec),Operational,Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),lon,lat
4332,Operational,60.8,2017-11-15,3.2,19,145.0,-2.49,55.917
4333,Awaiting Construction,9.2,,2.3,4,,-2.178,50.686
4335,Operational,6.9,2017-12-07,2.3,3,100.0,-2.5,51.572
4337,Operational,36.0,2017-03-20,3.0,12,,-3.984,55.624
4338,Revised,2.3,,2.3,1,,-2.406,56.929
4345,Operational,10.3,2015-10-01,2.05,5,,0.061,52.535
4346,Operational,2.3,2014-08-18,2.3,1,,-2.3,57.566
4348,Operational,7.5,2017-02-28,2.35,3,,-2.379,56.84
4349,Revised,60.0,,3.0,20,,-3.702,57.459
4350,Operational,10.0,2017-02-09,2.5,5,100.0,-2.899,57.464
4351,Under Construction,36.0,,3.6,10,127.0,-3.221,58.418
4353,Revised,54.0,,3.0,18,115.0,-3.264,55.719
4354,Operational,13.6,2015-12-01,3.4,4,,-2.112,53.668
4359,Revised,50.0,,4.16,12,149.9,-4.482,57.125
4360,Operational,6.9,2017-12-15,2.3,3,,-2.616,57.591
4361,Operational,6.0,2017-03-15,2.0,3,,-6.708,54.811
4362,Operational,29.9,2015-08-28,2.3,13,,-4.098,55.609
4363,Operational,18.4,2014-07-30,2.3,8,,-3.081,56.174
4365,Operational,25.0,2014-06-30,2.5,10,,-2.396,56.836
4368,Operational,66.0,2017-02-15,3.0,22,,-3.975,55.54
4369,Operational,16.4,2016-02-26,2.05,8,,0.166,53.363
4370,Operational,2.5,2014-06-01,2.5,1,,-4.618,55.593
4371,Operational,48.5,2022-01-01,2.5,20,110.0,-4.086,57.321
4373,Operational,32.8,2014-08-11,2.05,16,,-0.889,53.666
4374,Operational,1.5,2014-08-01,1.5,1,,-0.005,52.521
4377,Under Construction,14.4,,2.5,7,,-3.274,52.235
4381,Operational,27.6,2016-12-01,2.3,12,99.0,-3.616,57.511
4382,Revised,28.0,,3.5,8,130.0,-3.753,55.719
