zone id, lat, lon, is land (L) or contains some land (l)
00060410,51.43,0.63,L
00060411,51.6,0.77,L
00060412,51.26,0.83,L
00060413,51.42,0.96,l
00060414,51.44,0.3,L
00060415,51.61,0.43,L
00060416,51.27,0.5,L
00060430,51.07,1.36,l
00060431,51.23,1.5,l
00060434,51.08,1.03,L
00060435,51.25,1.16,L
00060440,50.79,-0.23,l
00060441,50.95,-0.1,L
00060443,50.78,0.1,L
00060444,50.8,-0.56,L
00060445,50.96,-0.43,L
00060450,51.29,-0.17,L
00060451,51.46,-0.04,L
00060452,51.12,0.03,L
00060453,51.28,0.16,L
00060454,51.3,-0.5,L
00060455,51.47,-0.37,L
00060456,51.13,-0.3,L
00060500,52.07,1.52,L
00060501,52.23,1.66,l
00060504,52.08,1.18,L
00060505,52.25,1.32,L
00060506,51.91,1.38,l
00060510,52.57,1.6,L
00060511,52.73,1.74,l
00060512,52.39,1.8,l
00060514,52.58,1.26,L
00060515,52.75,1.4,L
00060516,52.41,1.46,L
00060540,51.93,0.7,L
00060541,52.1,0.84,L
00060542,51.76,0.9,l
00060543,51.92,1.04,L
00060544,51.95,0.37,L
00060545,52.11,0.5,L
00060546,51.77,0.57,L
00060550,52.44,0.78,L
00060551,52.6,0.92,L
00060552,52.26,0.98,L
00060553,52.42,1.12,L
00060554,52.45,0.44,L
00060555,52.61,0.58,L
00060556,52.27,0.64,L
00060564,51.58,1.1,l
00060565,51.75,1.24,l
00060566,51.41,1.3,l
00061646,52.91,1.54,l
00064011,50.5,-2.45,l
00064054,50.18,-3.66,l
00064055,50.35,-3.54,l
00064100,51.0,-1.75,L
00064101,51.16,-1.62,L
00064102,50.82,-1.55,L
00064103,50.99,-1.42,L
00064104,51.01,-2.08,L
00064105,51.17,-1.95,L
00064106,50.83,-1.87,L
00064110,51.51,-1.7,L
00064111,51.67,-1.57,L
00064112,51.33,-1.49,L
00064113,51.5,-1.36,L
00064114,51.51,-2.03,L
00064115,51.68,-1.9,L
00064116,51.34,-1.82,L
00064120,50.64,-1.02,l
00064121,50.81,-0.89,L
00064124,50.65,-1.35,L
00064125,50.82,-1.22,l
00064130,51.15,-0.96,L
00064131,51.31,-0.83,L
00064132,50.97,-0.76,L
00064133,51.14,-0.63,L
00064134,51.16,-1.29,L
00064135,51.32,-1.16,L
00064136,50.98,-1.09,L
00064140,50.84,-2.53,L
00064141,51.01,-2.4,L
00064142,50.67,-2.33,L
00064143,50.84,-2.2,L
00064144,50.85,-2.85,L
00064145,51.02,-2.73,L
00064146,50.68,-2.65,L
00064150,51.35,-2.48,L
00064151,51.52,-2.36,L
00064152,51.18,-2.28,L
00064153,51.35,-2.15,L
00064154,51.36,-2.81,L
00064155,51.53,-2.68,L
00064156,51.19,-2.61,L
00064161,50.66,-1.67,l
00064165,50.67,-2.0,L
00064405,50.02,-5.05,l
00064410,50.36,-4.82,L
00064411,50.53,-4.71,L
00064413,50.36,-4.5,L
00064414,50.36,-5.14,L
00064415,50.53,-5.03,l
00064416,50.19,-4.94,l
00064450,50.19,-5.58,L
00064452,50.02,-5.37,l
00064453,50.19,-5.26,L
00064456,50.02,-5.69,l
00064500,51.04,-4.03,L
00064501,51.21,-3.91,L
00064502,50.86,-3.83,L
00064503,51.03,-3.71,L
00064504,51.04,-4.36,l
00064505,51.21,-4.24,l
00064506,50.87,-4.15,L
00064510,51.55,-4.0,l
00064511,51.72,-3.88,L
00064513,51.55,-3.67,L
00064514,51.56,-4.32,l
00064515,51.73,-4.2,L
00064520,50.69,-3.3,L
00064521,50.86,-3.18,L
00064523,50.68,-2.98,l
00064524,50.69,-3.62,L
00064525,50.86,-3.5,L
00064526,50.52,-3.42,l
00064530,51.2,-3.26,L
00064531,51.37,-3.14,l
00064532,51.02,-3.06,L
00064533,51.19,-2.93,L
00064534,51.2,-3.59,L
00064535,51.37,-3.46,l
00064536,51.03,-3.38,L
00064542,50.7,-4.59,L
00064543,50.87,-4.48,L
00064546,50.7,-4.91,l
00064555,51.56,-4.98,l
00064560,50.53,-4.07,L
00064561,50.69,-3.95,L
00064562,50.35,-3.86,L
00064563,50.52,-3.74,L
00064564,50.53,-4.39,L
00064565,50.7,-4.27,L
00064566,50.36,-4.18,l
00065000,53.41,-2.26,L
00065001,53.58,-2.12,L
00065002,53.23,-2.06,L
00065003,53.4,-1.92,L
00065004,53.42,-2.6,L
00065005,53.59,-2.46,L
00065006,53.24,-2.39,L
00065010,53.93,-2.19,L
00065011,54.1,-2.05,L
00065012,53.75,-1.99,L
00065013,53.92,-1.85,L
00065014,53.94,-2.53,L
00065015,54.11,-2.39,L
00065016,53.76,-2.33,L
00065020,53.04,-1.52,L
00065021,53.21,-1.38,L
00065022,52.86,-1.31,L
00065023,53.03,-1.18,L
00065024,53.05,-1.85,L
00065025,53.22,-1.72,L
00065026,52.87,-1.65,L
00065030,53.55,-1.45,L
00065031,53.72,-1.31,L
00065032,53.37,-1.24,L
00065033,53.54,-1.11,L
00065034,53.57,-1.79,L
00065035,53.73,-1.65,L
00065036,53.39,-1.58,L
00065040,53.26,-3.07,L
00065041,53.43,-2.93,L
00065042,53.08,-2.86,L
00065043,53.25,-2.73,L
00065044,53.27,-3.4,L
00065045,53.44,-3.27,l
00065046,53.09,-3.2,L
00065050,53.78,-3.0,L
00065051,53.95,-2.87,L
00065052,53.6,-2.8,L
00065053,53.77,-2.67,L
00065055,53.96,-3.21,l
00065056,53.61,-3.14,l
00065060,52.89,-2.32,L
00065061,53.06,-2.19,L
00065062,52.71,-2.12,L
00065063,52.88,-1.99,L
00065064,52.9,-2.66,L
00065065,53.07,-2.53,L
00065066,52.72,-2.45,L
00065100,54.59,-1.28,L
00065101,54.76,-1.14,l
00065102,54.41,-1.08,L
00065103,54.58,-0.94,L
00065104,54.61,-1.63,L
00065105,54.78,-1.48,L
00065106,54.42,-1.43,L
00065114,55.13,-1.53,L
00065115,55.3,-1.38,l
00065116,54.95,-1.33,l
00065120,54.21,-0.54,L
00065121,54.37,-0.4,l
00065122,54.02,-0.34,L
00065123,54.19,-0.2,l
00065124,54.22,-0.89,L
00065125,54.39,-0.74,L
00065126,54.04,-0.69,L
00065136,54.56,-0.6,l
00065140,54.45,-2.11,L
00065141,54.62,-1.97,L
00065142,54.27,-1.91,L
00065143,54.44,-1.77,L
00065144,54.46,-2.45,L
00065145,54.64,-2.31,L
00065146,54.28,-2.25,L
00065150,54.98,-2.02,L
00065151,55.15,-1.87,L
00065152,54.79,-1.82,L
00065153,54.96,-1.68,L
00065154,54.99,-2.36,L
00065155,55.16,-2.22,L
00065156,54.81,-2.17,L
00065160,54.07,-1.37,L
00065161,54.24,-1.23,L
00065162,53.89,-1.17,L
00065163,54.06,-1.03,L
00065164,54.08,-1.71,L
00065165,54.25,-1.57,L
00065166,53.9,-1.51,L
00065200,52.16,-0.84,L
00065201,52.33,-0.71,L
00065202,51.98,-0.64,L
00065203,52.15,-0.51,L
00065204,52.17,-1.17,L
00065205,52.34,-1.04,L
00065206,51.99,-0.97,L
00065210,52.67,-0.77,L
00065211,52.83,-0.64,L
00065212,52.49,-0.57,L
00065213,52.66,-0.44,L
00065214,52.68,-1.11,L
00065215,52.85,-0.98,L
00065216,52.5,-0.91,L
00065220,51.8,-0.1,L
00065221,51.96,0.03,L
00065222,51.62,0.1,L
00065223,51.78,0.23,L
00065224,51.81,-0.44,L
00065225,51.97,-0.3,L
00065226,51.63,-0.24,L
00065230,52.3,-0.03,L
00065231,52.46,0.1,L
00065232,52.12,0.17,L
00065233,52.29,0.3,L
00065234,52.31,-0.37,L
00065235,52.48,-0.23,L
00065236,52.14,-0.17,L
00065240,52.01,-1.64,L
00065241,52.18,-1.51,L
00065242,51.84,-1.44,L
00065243,52.0,-1.31,L
00065244,52.02,-1.97,L
00065245,52.19,-1.84,L
00065246,51.85,-1.77,L
00065250,52.53,-1.58,L
00065251,52.69,-1.45,L
00065252,52.35,-1.38,L
00065253,52.51,-1.24,L
00065254,52.54,-1.92,L
00065255,52.7,-1.78,L
00065256,52.36,-1.71,L
00065260,51.65,-0.9,L
00065261,51.82,-0.77,L
00065262,51.48,-0.7,L
00065263,51.64,-0.57,L
00065264,51.66,-1.24,L
00065265,51.83,-1.1,L
00065266,51.49,-1.03,L
00065300,53.32,0.12,L
00065301,53.48,0.26,l
00065302,53.14,0.32,L
00065303,53.3,0.46,l
00065304,53.33,-0.22,L
00065305,53.5,-0.08,L
00065306,53.15,-0.02,L
00065314,53.84,-0.14,L
00065315,54.01,0.0,l
00065316,53.66,0.06,l
00065320,52.94,0.86,L
00065322,52.76,1.06,L
00065323,52.93,1.2,L
00065324,52.96,0.52,l
00065326,52.78,0.72,L
00065340,53.18,-0.7,L
00065341,53.35,-0.56,L
00065342,53.0,-0.5,L
00065343,53.17,-0.36,L
00065344,53.19,-1.04,L
00065345,53.36,-0.9,L
00065346,53.01,-0.84,L
00065350,53.69,-0.63,L
00065351,53.86,-0.48,L
00065352,53.51,-0.42,L
00065353,53.68,-0.28,L
00065354,53.71,-0.97,L
00065355,53.87,-0.83,L
00065356,53.53,-0.77,L
00065360,52.81,0.04,L
00065361,52.97,0.18,l
00065362,52.63,0.24,L
00065363,52.79,0.38,L
00065364,52.82,-0.3,L
00065365,52.99,-0.16,L
00065366,52.64,-0.1,L
00065400,53.47,-4.61,l
00065402,53.29,-4.4,L
00065403,53.46,-4.28,l
00065420,53.11,-3.87,L
00065421,53.28,-3.74,L
00065422,52.93,-3.66,L
00065423,53.1,-3.53,L
00065424,53.11,-4.2,L
00065425,53.28,-4.07,l
00065426,52.93,-3.99,L
00065460,52.95,-4.66,L
00065461,53.12,-4.53,l
00065462,52.77,-4.45,l
00065463,52.94,-4.33,L
00065466,52.77,-4.78,l
00065500,54.68,-3.67,l
00065501,54.86,-3.52,l
00065502,54.5,-3.47,L
00065503,54.67,-3.33,L
00065504,54.7,-4.0,l
00065505,54.88,-3.85,L
00065510,55.23,-3.55,L
00065511,55.41,-3.39,L
00065512,55.04,-3.37,L
00065513,55.21,-3.21,L
00065514,55.24,-3.88,L
00065515,55.42,-3.72,L
00065516,55.05,-3.7,L
00065520,54.31,-2.93,L
00065521,54.48,-2.79,L
00065522,54.12,-2.73,L
00065523,54.29,-2.59,L
00065524,54.32,-3.27,L
00065525,54.49,-3.13,L
00065526,54.13,-3.07,l
00065530,54.83,-2.85,L
00065531,55.01,-2.71,L
00065532,54.65,-2.65,L
00065533,54.82,-2.51,L
00065534,54.85,-3.19,L
00065535,55.02,-3.04,L
00065536,54.66,-2.99,L
00065541,54.71,-4.33,l
00065545,54.72,-4.66,l
00065550,55.08,-4.36,L
00065551,55.26,-4.21,L
00065552,54.89,-4.18,L
00065553,55.07,-4.03,L
00065554,55.09,-4.69,L
00065555,55.27,-4.54,L
00065556,54.9,-4.51,L
00065561,54.33,-3.61,l
00065563,54.14,-3.41,l
00065600,52.22,-3.17,L
00065601,52.39,-3.05,L
00065602,52.05,-2.97,L
00065603,52.22,-2.84,L
00065604,52.23,-3.5,L
00065605,52.4,-3.38,L
00065606,52.06,-3.3,L
00065610,52.74,-3.12,L
00065611,52.91,-2.99,L
00065612,52.56,-2.92,L
00065613,52.73,-2.79,L
00065614,52.75,-3.46,L
00065615,52.92,-3.33,L
00065616,52.57,-3.25,L
00065620,51.86,-2.43,L
00065621,52.03,-2.3,L
00065622,51.69,-2.23,L
00065623,51.86,-2.1,L
00065624,51.87,-2.76,L
00065625,52.04,-2.64,L
00065626,51.7,-2.56,L
00065630,52.38,-2.38,L
00065631,52.55,-2.25,L
00065632,52.2,-2.18,L
00065633,52.37,-2.05,L
00065634,52.39,-2.71,L
00065635,52.55,-2.58,L
00065636,52.21,-2.51,L
00065640,52.07,-3.96,L
00065641,52.24,-3.83,L
00065642,51.89,-3.75,L
00065643,52.06,-3.63,L
00065644,52.07,-4.29,L
00065645,52.24,-4.16,L
00065646,51.9,-4.08,L
00065650,52.58,-3.91,L
00065651,52.76,-3.79,L
00065652,52.41,-3.71,L
00065653,52.58,-3.58,L
00065655,52.76,-4.12,l
00065656,52.41,-4.04,L
00065660,51.71,-3.22,L
00065661,51.88,-3.09,L
00065662,51.54,-3.01,L
00065663,51.7,-2.89,L
00065664,51.72,-3.55,L
00065665,51.89,-3.42,L
00065666,51.54,-3.34,L
00433111,54.23,-6.72,L
00433113,54.04,-6.53,l
00433115,54.23,-7.04,l
00433151,54.06,-7.5,l
00433320,51.9,-4.74,L
00433321,52.08,-4.62,L
00433322,51.73,-4.53,l
00433323,51.9,-4.41,L
00433324,51.91,-5.06,L
00433325,52.08,-4.94,l
00433326,51.73,-4.86,L
00433332,52.25,-4.49,l
00433361,51.91,-5.39,l
00433363,51.74,-5.18,l
