h3 cell id (minus ffffffff), lat, lon, is land (L) or contains some land (l)
841974b,57.01,-0.09,
841974d,57.48,-1.0,
8419751,56.29,0.37,
8419753,55.92,0.59,
8419755,56.4,-0.29,
8419757,56.03,-0.06,
8419759,56.54,0.79,
841975b,56.17,1.01,
841975d,56.65,0.14,
8419761,57.07,-2.54,L
8419763,56.71,-2.28,l
8419765,57.17,-3.22,L
8419767,56.8,-2.96,L
8419769,57.33,-2.11,L
841976b,56.97,-1.86,l
841976d,57.43,-2.79,L
8419a99,57.21,-14.51,
8419a9b,56.86,-14.15,
8419ad1,57.86,-14.49,
8419ad3,57.52,-14.12,
8419ad9,58.16,-14.09,
8419adb,57.82,-13.73,
